Movie,Budget,WorldGross,RottenTomatoes,AudienceScore,Profitability
Spider-Man 3,258.0,890.87,61.0,54.0,345.3
Shrek the Third,160.0,798.96,42.0,57.0,499.35
Transformers,150.0,709.71,57.0,89.0,473.14
Pirates of the Caribbean: At World's End,300.0,963.42,45.0,74.0,321.14
Harry Potter and the Order of the Phoenix,150.0,939.89,78.0,82.0,626.59
I Am Legend,150.0,585.35,69.0,69.0,390.23
The Bourne Ultimatum,110.0,442.82,93.0,91.0,402.57
National Treasure: Book of Secrets,130.0,457.36,31.0,72.0,351.82
Alvin and the Chipmunks,70.0,361.34,26.0,73.0,516.19
300,65.0,456.07,60.0,90.0,701.64
Ratatouille,150.0,623.72,97.0,84.0,415.81
The Simpsons Movie,75.0,527.07,90.0,78.0,702.76
Wild Hogs,90.0,253.62,14.0,72.0,281.8
Knocked Up,33.0,219.08,91.0,83.0,663.86
Juno,7.5,231.41,94.0,89.0,3085.48
Rush Hour 3,140.0,258.02,20.0,68.0,184.3
Live Free or Die Hard,110.0,383.53,79.0,86.0,348.66
Fantastic Four: Rise of the Silver Surfer,130.0,289.05,35.0,55.0,222.34
American Gangster,100.0,266.46,79.0,87.0,266.46
Enchanted,85.0,340.49,93.0,80.0,400.57
Bee Movie,150.0,287.59,52.0,57.0,191.73
Superbad,20.0,169.87,88.0,87.0,849.36
I Now Pronounce You Chuck and Larry,85.0,186.07,13.0,73.0,218.91
Hairspray,75.0,202.55,92.0,84.0,270.06
Blades of Glory,61.0,145.71,69.0,66.0,238.87
Ocean's 13,85.0,311.31,70.0,74.0,366.25
Ghost Rider,110.0,228.74,28.0,56.0,207.94
Evan Almighty,175.0,173.42,23.0,56.0,99.1
Meet the Robinsons,100.0,169.33,66.0,75.0,169.33
Norbit,60.0,159.31,9.0,56.0,265.52
The Bucket List,45.0,175.37,41.0,81.0,389.72
The Game Plan,22.0,147.88,27.0,75.0,672.18
Beowulf,150.0,196.39,71.0,52.0,130.93
